Datetime,username,tweets,emotions
4/6/2021,AdabiMY,salam  jumaat penghulu segala hari    admin doakan kita semua dilindungi dijauhkan dari segala wabak penyakit dan semoga segala urusan kita dipermudahkan oleh yang  maha  esa  stay at home and stay safe guys    adabi  bersih dan asli dudukrumah stayhomestaysafe ,happy
4/6/2021,Owen2587526569,while the vaccination is in progress  pn  govt must be serious in containing the spread of  covid now  shut down all those nonessentials  rakyat must practice high degree of  self  lockdown  pls do your bit to help all of us and help our  healthcare  system  stay  home   stay  safe,happy
4/6/2021,efaazizofficial,good morning  salam  jumaat everyone  have a nice day ahead  semoga kita dipermudahkan urusan  apa plan hari ini  stay safe home  stay safe okay,happy
3/6/2021,traxxfmofficial,reposted from  we self isolate ourselves now so as  when we gather again in time no one is missing  stay safe and stay home ,happy
3/6/2021,HurunKyumin05,rain rain go away  come again another day   rain be like   i just stay in my homenot go anywhere ,happy
3/6/2021,ctsyhdh,but  im ready to go to work tho im bored and my skin is breaking out maybe im not used to stay at home for too long kot,happy
3/6/2021,melanietubies,i feel like the longer i stay home the more i turn into  sung  bo ra,happy
3/6/2021,chickentendie55,you wont see this but if by any chance that you do how are you how was your day hows work does the breathing exercise help still are u doing better now anyways i hope your days been good and youre happy today stay safe get home safe goodnight,happy
3/6/2021,phoebe_hp_fan,my point is if you  know somethings wrong go to a gp or kk first  they can get you to the hospital if you need it  but if youve had it before you already know what to do    in that case get what you need and  stay home,happy
3/6/2021,katklc,here we have many irresponsible people thats what caused our current wave that spiral out of control  i hope these people learn from their biggest mistake of their life   stay  safe  stay  home ,happy
3/6/2021,lemonfilmblog,stayhome guide for  friday  make bread pizza attend  digital  shilin  singapore festival and more sg singapore ,happy
3/6/2021,donnyl57,yb we are seniors  we have two different dates for our vaccination appointments    venue is km away  we stay in  p jaya  centre is  ukm  bangi   one of the appointment is at pm  we should get home by  pm,happy
3/6/2021,mrcurtainmy,stay safe stay healthy everyone   and stay at home to deliver maximum impact in our fight against  covid so that we dont keep repeating  mco cmco emco mco fmco fmco  ,happy
3/6/2021,syassakii88,stay home if possible and stay safe guys  ,happy
3/6/2021,shafiah_ar,i havent seen my parents and two sisters since  march of last year  we can do this  stay home and vaccinate ,happy
3/6/2021,AmalynRuini,stay  home things doing  take good care of beauty   belajar memasak cooking and baking  from  mama,happy
3/6/2021,KyanCosmetics,too  much  negativi kat luar  lets spread positivi dari rmh    stay  gojes  stay  healthy at  home   we are giving away  free  e  book and  free  lip  velvet or  lip  scrub starting tomorrow   plus  rm  gift  voucher    starting  tomorrow okay  ,happy
3/6/2021,picocreator,i think as this new normal stay at home working stretches out we would find hdb homeowners opting to rip out part or all of their kitchen and converting into an office  especially for households with multiple  wfh individuals   you might be ahead of the curve,happy
3/6/2021,OurTampinesHub,stay home stay safe  the  laugh out loud  comedy  series shows will make a comeback on our  fb in  june    catch the hilarious  fly  entertainment  artiste  suhaimi  yusof tomorrow   june at pm on  oth fb and get ready for nonstop rib tickling humour   our tampines hub  take me oth ,happy
3/6/2021,Melluvchai,woww  monday  pm nafas cinta a duet  n will be enter muzik muzik     so guys get ready to  vote k    stay safe n stay at home    click link below to  vote     ,happy
3/6/2021,AvisMalaysia,today is rd day of total lockdown   the safest place is home  please stay at home and keep your mind at ease during this difficult time  lets try this and tell us your answer in the comment ,happy
3/6/2021,nursurianaaa,stay home  stay safe everyone  ,happy
3/6/2021,AlyessaMariani,ask your team to do a rough fast review  i may look like fooling and playing around   if you take a look for my tweets my time has been wasted eagerly  i am jobless i volunteer to work freely without salary i rather choose to work than stay at home eat sleep repeat,happy
3/6/2021,YayasanMSU,empathy and sympathy those are all they ask for  stay home so that they can stay safe  ym supports all front liners ,happy
3/6/2021,syok_malaysia,please stay at home and stay safe  ,happy
3/6/2021,NajahKusaini,mco s  stay  home and  stay  safe  everyone   good luck  malaysia  ,happy
3/6/2021,septian,  jun  local cases and  imported cases    linked  unlinked   linked to  mind sville   napiri disability home cluster   other linked cases have already been placed on quarantine        stay vigilant and stay safe   ,happy
3/6/2021,divividejavu,devastated  i hate todays errand but  im blessed to stay alive at least to see the beauty of  gods creation    am home and what i need now is a calming music and beauty sleep,happy
3/6/2021,Ezhuthu_Station,wanted me to create my avatar  so here it is  it was fun   stay  home  stay  safe    lockdown parithabangal ,happy
3/6/2021,TharaAgrawal,stay safe stay strong and stay at home   covid  ,happy
3/6/2021,enjoyhoingg,ok now  i have a new dream stay at home accountant sounds right ,happy
3/6/2021,VimileswariN,too many voices in my headstay at home stay safe  but office is open and  work force  tell the voice to shut up  and only listen to ,happy
3/6/2021,jonestwong,   if we do not save ourself who will   full or  fool  lockdown    guys  stay  home  stay  safe   djw ,happy
3/6/2021,ngyokkeong,if  companies with mil workers are allowed by  miti to operate during this shutdown and the pm makes no noise about it why should the rest stay at home,happy
3/6/2021,Kindnessdotmy,hai korang ada yg work from home ke  essential or not u guys stay safe ya,happy
3/6/2021,ikram_muda,stay safe stay at home jaga  sop semua   ikrammuda anakmuda pemangkinnegararahmah  ikram fightscovid,happy
3/6/2021,joooo_99,stay home stay safe everyone ,happy
3/6/2021,SouthCrestMY,we operate as usual   stay home stay safe and shop online    start buying online on our website  click link on our bio  stayhome staysafe shoponline southerncrescent ,happy
3/6/2021,Honeycombers,working from home  here are  tips to stay sane and be productive    honeycombers honeycombers sg ,happy
3/6/2021,ATEEZ_Singapore,trans  ateez  happy birthday md  theme  results   atee zs first birthday  md theme results revealed  the  stay home theme has been chosen thanks to atin ys participation  please look forward to the  md items that will be released soon  kqshop  ,happy
3/6/2021,Celcom,we are ready as ever to keep you connected to what matters most  to help you work play and study better at home we have a variety of offers on unlimited video calls new devices  more    stay safe  shop on with free delivery from  celcom  online  shop  ,happy
3/6/2021,rbfnm,to all my friends may  allah protect and cure you from this viruses  stay at home and if you had to go out use  face masks  kita jaga kita,happy
3/6/2021,rehlaofficial,stay at home checklist  stay home  stay safe  ,happy
3/6/2021,staronline,covid  parents trying their best to keep children home and safe   ,happy
3/6/2021,golfpaths6,stay at home work from home  for those who have to work outside stay safe  at least when it is safe to meet family and friends again no one is missing  kita jaga kita malaysiaboleh  mask up  wash your hands lockdown,happy
